序号,招聘主题,用人单位,发布日期,浏览次数
549, 云帆生-成本管理方向（管培生）,远洋云泰数据服务有限公司,2021-11-29,51
550,云帆生-技术支持方向（管培生）,远洋云泰数据服务有限公司,2021-11-29,57
551, 云帆生-投资管理方向（管培生）,远洋云泰数据服务有限公司,2021-11-29,49
552, 云帆生-人力资源方向（管培生）,远洋云泰数据服务有限公司,2021-11-29,50
553,电工与电 子技术教师,中国消防救援学院,2021-11-29,91
554,灭火战术教师,中国消防救援学院,2021-11-29,95
555,灭火救援指挥教师,中国消防救援学院,2021-11-29,120
556,消防技术装备教师,中国消防救援学院,2021-11-29,86
557,火灾监控技术教师,中国消防救援学院,2021-11-29,90
558,信号与系统教师,中国消防救援学院,2021-11-29,82
559,自动控制原理教师,中国消防救援学院,2021-11-29,77
560,地理信息系统教师,中国消防救援学院,2021-11-29,78
561,淮阴师范学院2021年诚聘高层次人才,淮阴师范学院,2021-11-29,66
562,高等学校教学科研岗,潍坊科技学院,2021-11-29,59
563,专任辅导员,承德石油高等专科学校,2021-11-29,49
564,交易员,西安天勤汇理私募基金管理有限公司,2021-11-29,56
565,香港科技大学数据建模硕士学位项目（MSc DDM） 12月宣讲会（线上+线下）通知,南京途善久文化传播有限公司,2021-11-28,100
566,电子工程师,江苏势通生物科技有限公司,2021-11-27,53
567,软件工程师,陕西群爱生物科技有限公司,2021-11-26,102
568,游戏行业全岗位序列开放,西安爱斯唯尔信息科技有限公司,2021-11-26,128
569,扬州市优秀青年人才,中共仪征市委组织部,2021-11-26,114
570,设计工程师,西安奥尔科航空科技有限公司,2021-11-26,65
571,电气自动化,山东力山特智能科技股份有限公司,2021-11-26,61
572,电子信息工程,山东力山特智能科技股份有限公司,2021-11-26,67
573,硬件设计工程师,西安瑞峰光电技术有限公司,2021-11-26,68
574,c++开发工程师,北京与之科技有限公司,2021-11-26,69
575,计算机科学与技术,山东力山特智能科技股份有限公司,2021-11-26,83
576,软件工程,山东力山特智能科技股份有限公司,2021-11-26,66
577,电气自动化,山东力山特智能科技股份有限公司,2021-11-26,68
578,机械设计制造及其自动化,山东力山特智能科技股份有限公司,2021-11-26,74
579,自动化工程师,山东力山特智能科技股份有限公司,2021-11-26,67
580,研发设计员,武汉航空仪表有限责任公司,2021-11-26,66
581,C/C++软件工程师（Linux，嵌入式，单片机，智能应用）,上海广翼智联科技有限公司,2021-11-26,59
582,北交所业务岗,开源证券股份有限公司,2021-11-26,60
583,西安工商学院2021年11月招聘公告,西安工商学院,2021-11-26,61
584,硬件工程师,上海广翼智联科技有限公司,2021-11-26,64
585,C/C++软件开发助理工程师,深圳市视开智能科技有限责任公司,2021-11-26,69
586,2022年杭州建德市招引党政储备人才公告,建德市人力资源和社会保障局,2021-11-26,61
587,FPGA开发工程师,西安瑞峰光电技术有限公司,2021-11-26,66
588,嵌入式软件工程师,西安瑞峰光电技术有限公司,2021-11-26,63
589,专利工程师,港专京诚知识产权服务有限公司,2021-11-26,54
590,计算机、通信类专利代理人助理,北京市创世宏景专利商标代理有限责任公司,2021-11-26,53
591,软件开发工程师（北京/上海）年薪10-25W,深圳飞音时代网络通讯技术有限公司,2021-11-26,44
592,软件测试工程师（北京）年薪10-25W,深圳飞音时代网络通讯技术有限公司,2021-11-26,45
593,研发测试工程师,长沙海格北斗信息技术有限公司,2021-11-25,107
594,FunPlus趣加技术类急招岗位内推,北京趣加科技有限公司,2021-11-25,62
595,软件开发工程师,上海吉世代网络科技有限公司,2021-11-25,53
596,桂林理工大学南宁分校2022年专职学生辅导员招聘启事,北京磐石活水信息科技有限公司,2021-11-25,50
597,数据安全研究员（隐私计算）,图灵人工智能研究院（南京）有限公司,2021-11-25,83
598,HANA Core Development Support Engineer,思爱普（中国）有限公司西安分公司,2021-11-25,73
599,智能算法研究员（图像识别）,图灵人工智能研究院（南京）有限公司,2021-11-25,51
600,嵌入式软件工程师,长沙海格北斗信息技术有限公司,2021-11-25,96
601,信号处理工程师,长沙海格北斗信息技术有限公司,2021-11-25,101
602,高精度算法工程师,长沙海格北斗信息技术有限公司,2021-11-25,100
603,硬件设计工程师,长沙海格北斗信息技术有限公司,2021-11-25,101
604,专利工程师（电学、通信、机械、自动化领域）,北京龙双利达知识产权代理有限公司西安分公司,2021-11-25,53
605,专利工程师（电学、通信、机械、自动化领域）,北京龙双利达知识产权代理有限公司西安分公司,2021-11-25,57
606,专利工程师（电学、通信、机械、自动化等领域）,北京龙双利达知识产权代理有限公司西安分公司,2021-11-25,51
607,营销培训生,内蒙古伊利实业集团股份有限公司郑州第一分公司,2021-11-25,52
608,歌莉娅22届校招管理培训生,广州市格风服饰有限公司,2021-11-25,52
609,伊利2022年校招-销售培训生（奶粉),内蒙古伊利实业集团股份有限公司兰州第一分公司,2021-11-25,44
610,系统集成项目经理,重庆信科通信工程有限公司,2021-11-24,98
611,信号完整性[SI/PI]工程师,强一半导体（苏州）有限公司,2021-11-24,152
612,MEMS工艺研发工程师,强一半导体（苏州）有限公司,2021-11-24,157
613,MLC/MLO材料研发科学家,强一半导体（苏州）有限公司,2021-11-24,169
614,MEMS结构设计工程师,强一半导体（苏州）有限公司,2021-11-24,156
615,FPGA工程师,深圳市国立智能电力科技有限公司,2021-11-24,75
616,软件研发工程师,中国电子口岸数据中心,2021-11-24,46
617,RF MEMS仿真设计工程师,强一半导体（苏州）有限公司,2021-11-24,156
618,MEMS工艺研发工程师,强一半导体（苏州）有限公司,2021-11-24,137
619,研发管理培训生,京东方科技集团股份有限公司,2021-11-24,53
620,软件工程师,北京星际导控科技有限责任公司,2021-11-24,91
621,总体工程师,北京星际导控科技有限责任公司,2021-11-24,85
622,算法工程师,北京星际导控科技有限责任公司,2021-11-24,93
623,销售工程师,北京星际导控科技有限责任公司,2021-11-24,88
624,嵌入式软件工程师,深圳市国立智能电力科技有限公司,2021-11-24,58
625,工程技术类,深圳市国立智能电力科技有限公司,2021-11-24,46
626,技术型销售,深圳市国立智能电力科技有限公司,2021-11-24,49
627,市场策划,深圳市国立智能电力科技有限公司,2021-11-24,51
628,教师岗,新余学院,2021-11-24,57
629,生产装配调试类,深圳市国立智能电力科技有限公司,2021-11-24,53
630,工艺/客服/质量/设备/设计工程师,江苏长电科技股份有限公司,2021-11-24,53
631,Power Management IC Design Engineer,联发科技（合肥）有限公司,2021-11-24,48
632,软件开发工程师（后端）,益佳医（西安）软件技术有限公司,2021-11-24,52
633,河南科技大学诚聘优秀人才,河南科技大学,2021-11-24,49
634,算法与数据科学方向,华控清交信息科技（北京）有限公司,2021-11-24,55
635,培训生,中信证券（山东）有限责任公司淄博柳泉路证券营业部,2021-11-23,69
636,重庆电力高等专科学校,重庆电力高等专科学校,2021-11-23,63
637,储备技术员,山西晋钢智造科技实业有限公司,2021-11-23,60
638,专利代理人助理,北京市创世宏景专利商标代理有限责任公司,2021-11-23,50
639,市场策划专员,安徽江汽物流有限公司,2021-11-23,53
640,专利流程专员兼行政助理,北京市创世宏景专利商标代理有限责任公司,2021-11-23,51
641,智慧物流工程师,安徽江汽物流有限公司,2021-11-23,52
642,供应链管理专员,安徽江汽物流有限公司,2021-11-23,50
643,运营管理专员,安徽江汽物流有限公司,2021-11-23,52
644,销售经理/大客户经理,上海轩田工业设备有限公司,2021-11-23,55
645,软件开发工程师,上海轩田工业设备有限公司,2021-11-23,53
646,软件开发工程师,上海轩田工业设备有限公司,2021-11-23,60
647,机械工程师,上海轩田工业设备有限公司,2021-11-23,58
648,管培生（市场营销方向）,鑫方盛控股集团有限公司,2021-11-23,46
649,管培生（商品采购方向）,鑫方盛控股集团有限公司,2021-11-23,47
650,电气工程师,上海轩田工业设备有限公司,2021-11-23,57
651,超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-11-23,78
652,投资分析岗,宁波国君源泓投资管理有限公司,2021-11-23,57
653,投资经理,宁波国君源泓投资管理有限公司,2021-11-23,48
654,电子电路工程师,厦门乃尔电子有限公司,2021-11-23,42
655,算法工程师,深圳市国立智能电力科技有限公司,2021-11-23,44
656,储备干部,厦门乃尔电子有限公司,2021-11-23,43
657,电子电路工程师,厦门乃尔电子有限公司,2021-11-23,45
658,销售经理,厦门乃尔电子有限公司,2021-11-23,44
659,嵌入式硬件工程师,厦门乃尔电子有限公司,2021-11-23,42
660,Android开发工程师（MJ002632）,深圳市掌锐电子有限公司,2021-11-23,67
661,电子工程师,深圳市掌锐电子有限公司,2021-11-23,65
662,教师岗,洛阳职业技术学院,2021-11-23,42
663,FPGA开发工程师,厦门乃尔电子有限公司,2021-11-23,44
664,嵌入式软件工程师,厦门乃尔电子有限公司,2021-11-23,40
665,IC验证工程师,上海道生物联技术有限公司,2021-11-22,51
666,初级嵌入式工程师,上海道生物联技术有限公司,2021-11-22,51
667,FAE工程师,上海道生物联技术有限公司,2021-11-22,47
668,射频工程师,上海道生物联技术有限公司,2021-11-22,53
669,算法工程师,中科特思信息技术（深圳）有限公司,2021-11-22,55
670,GLOBAL YOUNG TALENTS,上海交通大学,2021-11-22,51
671,硬件工程师,中科特思信息技术（深圳）有限公司,2021-11-22,61
672,嵌入式工程师,中科特思信息技术（深圳）有限公司,2021-11-22,50
673,大数据开发工程师,河南校信通教育科技有限公司,2021-11-22,57
674,专任辅导员,承德石油高等专科学校,2021-11-22,87
675,JAVA开发工程师,河南校信通教育科技有限公司,2021-11-22,53
676,教育产品研发（文科：含语文、英语）,河南校信通教育科技有限公司,2021-11-22,54
677,嵌入式工程师,中科特思信息技术（深圳）有限公司,2021-11-22,48
678,Java开发工程师,上海广为电器集团有限公司,2021-11-22,74
679,客户端开发工程师,河南校信通教育科技有限公司,2021-11-22,50
680,网络安全工程师,河南校信通教育科技有限公司,2021-11-22,55
681,教育产品研发（理科：含数学、物理、化学）,河南校信通教育科技有限公司,2021-11-22,54
682,光学元器件研发工程师,湖南戴斯光电有限公司,2021-11-22,42
683,自动化设备研发工程师,湖南戴斯光电有限公司,2021-11-22,47
684,业务员,湖南戴斯光电有限公司,2021-11-22,43
685,开发工程师,北京中科泛华测控技术有限公司,2021-11-22,46
686,研发序列/营销序列/技术序列,烟台东方威思顿电气有限公司,2021-11-22,62
687,校内实习生,西安联易共享信息科技有限公司,2021-11-22,47
688,光学工程师,惠州市星聚宇光学有限公司,2021-11-22,49
689,项目工程师,惠州市星聚宇光学有限公司,2021-11-22,52
690,光学与工艺工程师,惠州市星聚宇光学有限公司,2021-11-22,49
691,新媒体文案,陕西巨量星图教育科技有限公司,2021-11-22,97
692,	短视频剪辑,陕西巨量星图教育科技有限公司,2021-11-22,97
693,新媒体运营,陕西巨量星图教育科技有限公司,2021-11-22,107
694,流量投手,陕西巨量星图教育科技有限公司,2021-11-22,120
695,课程顾问,陕西巨量星图教育科技有限公司,2021-11-22,103
696,销售工程师,上海道生物联技术有限公司,2021-11-22,41
697,研发工程师,上海心玮医疗科技股份有限公司,2021-11-21,38
698,电子工程师,上海心玮医疗科技股份有限公司,2021-11-21,40
699,硬件工程师,上海心玮医疗科技股份有限公司,2021-11-21,40
700,Linux系统开发工程师,上海心玮医疗科技股份有限公司,2021-11-21,37
701,软件工程师（图像）,上海心玮医疗科技股份有限公司,2021-11-21,39
702,注册工程师,上海心玮医疗科技股份有限公司,2021-11-21,37
703,质量工程师,上海心玮医疗科技股份有限公司,2021-11-21,39
704,生化测试工程师（化学）,上海心玮医疗科技股份有限公司,2021-11-21,36
705,生化测试工程师（微生物）,上海心玮医疗科技股份有限公司,2021-11-21,37
706,SQE工程师,上海心玮医疗科技股份有限公司,2021-11-21,37
707,工艺工程师,上海心玮医疗科技股份有限公司,2021-11-21,36
708,设备工程师,上海心玮医疗科技股份有限公司,2021-11-21,37
709,市场专员,上海心玮医疗科技股份有限公司,2021-11-21,35
710,FPGA工程师,上海心玮医疗科技股份有限公司,2021-11-21,60
711,工程管理岗,中建方圆华东城市开发建设有限公司,2021-11-21,54
712,信息化岗,中建方圆华东城市开发建设有限公司,2021-11-21,73
713,人力资源岗,中建方圆华东城市开发建设有限公司,2021-11-21,61
714,投融资管理岗,中建方圆华东城市开发建设有限公司,2021-11-21,52
715,行政管理岗,中建方圆华东城市开发建设有限公司,2021-11-21,53
716,香港科技大学工学院理学硕士环境工程学及管理(MSc EVEM)2022Fall宣讲会(线上),南京途善久文化传播有限公司,2021-11-21,104
717,香港科技大学工学院理学硕士土木基建工程及管理(MSc CIEM)2022Fall宣讲会(线上),南京途善久文化传播有限公司,2021-11-21,93
718,嵌入式开发工程师  (C/C++ ),深圳市掌锐电子有限公司,2021-11-20,122
719,研发工程师（程序/电气）,广东利元亨智能装备股份有限公司,2021-11-20,43
720,机械管培生,广东利元亨智能装备股份有限公司,2021-11-20,40
721,重庆文理学院面向海内外公开招聘二级学院院长公告,北京磐石活水信息科技有限公司,2021-11-20,47
722,研发工程师（嵌入式硬件）,广东利元亨智能装备股份有限公司,2021-11-20,42
723,研发工程师（嵌入式软件）,广东利元亨智能装备股份有限公司,2021-11-20,42
724,研发工程师（嵌入式驱动）,广东利元亨智能装备股份有限公司,2021-11-20,40
725,研发工程师（机器人方案）,广东利元亨智能装备股份有限公司,2021-11-20,40
726,程序管培生,广东利元亨智能装备股份有限公司,2021-11-20,39
727,电气管培生,广东利元亨智能装备股份有限公司,2021-11-20,41
728,激光管培生,广东利元亨智能装备股份有限公司,2021-11-20,42
729,视觉管培生,广东利元亨智能装备股份有限公司,2021-11-20,41
730,软件管培生,广东利元亨智能装备股份有限公司,2021-11-20,41
731,研发质量管培生,广东利元亨智能装备股份有限公司,2021-11-20,39
732,项目管培生,广东利元亨智能装备股份有限公司,2021-11-20,43
733,人力资源管培生,广东利元亨智能装备股份有限公司,2021-11-20,40
734,行政管培生,广东利元亨智能装备股份有限公司,2021-11-20,73
735,标准化工程师,广东利元亨智能装备股份有限公司,2021-11-20,38
736,产品管培生,广东利元亨智能装备股份有限公司,2021-11-20,41
737,大唐电信科技股份有限公司2022应届生招聘,大唐电信科技股份有限公司,2021-11-20,50
738,临床工程师,西安大医集团有限公司,2021-11-19,64
739,硬件开发工程师,北京蓝拓扑科技股份有限公司,2021-11-19,55
740,FPGA开发工程师,北京蓝拓扑科技股份有限公司,2021-11-19,61
741,嵌入式软件开发工程师,北京蓝拓扑科技股份有限公司,2021-11-19,55
742,香港科技大学工学院理学硕士（MSc）综合场线上招生宣讲会,南京途善久文化传播有限公司,2021-11-19,112
743,电气工程师,国家管网集团西部管道有限责任公司,2021-11-19,114
744,自动化工程师,国家管网集团西部管道有限责任公司,2021-11-19,110
745,马克思主义教学部,茅台学院,2021-11-19,57
746,酿酒工程自动化系,茅台学院,2021-11-19,68
747,酿酒工程系,茅台学院,2021-11-19,51
748,旅游管理系,茅台学院,2021-11-19,43
749,食品科学与工程,茅台学院,2021-11-19,47
750,工商管理系,茅台学院,2021-11-19,47
751,雷达信号处理工程师,中国船舶重工集团南京鹏力科技集团有限公司,2021-11-19,59
752,谱育科技2022年校园招聘-开发类岗位,杭州谱育科技发展有限公司,2021-11-19,47
753,电子电气工程师,西安大医集团有限公司,2021-11-19,88
754,Java软件工程师,中国船舶重工集团南京鹏力科技集团有限公司,2021-11-19,54
755,超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-11-19,58
756,2022校园招聘-管培生,大悦城控股集团（浙江）有限公司,2021-11-19,100
757,算法工程师,西安大医集团有限公司,2021-11-19,57
758,销售工程师,西安大医集团有限公司,2021-11-19,57
759,人力资源专员,西安大医集团有限公司,2021-11-19,55
760,软件测试工程师,西安大医集团有限公司,2021-11-19,66
761,web前端工程师,西安大医集团有限公司,2021-11-19,55
762,工程师,国家超级计算深圳中心（深圳云计算中心）,2021-11-19,43
763,生物研发研究员／生物研发高级研究员,辉源生物科技（上海）有限公司,2021-11-19,104
764,销售经理,常州市创联电源科技股份有限公司,2021-11-19,102
765,博士后研究人员,深圳市自然资源和不动产评估发展研究中心（深圳市地质环境监测中心）,2021-11-19,49
766,算法工程师,弈芯科技（杭州）有限公司,2021-11-19,46
767,软件开发工程师,弈芯科技（杭州）有限公司,2021-11-19,41
768,软件测试工程师,弈芯科技（杭州）有限公司,2021-11-19,41
769,产品应用工程师,弈芯科技（杭州）有限公司,2021-11-19,55
770,实习生,深圳市自然资源和不动产评估发展研究中心（深圳市地质环境监测中心）,2021-11-19,38
771,大客户销售管培生（北京）,华控清交信息科技（北京）有限公司,2021-11-19,40
772,大客户销售管培生（上海）,华控清交信息科技（北京）有限公司,2021-11-19,39
773,售前解决方案管培生,华控清交信息科技（北京）有限公司,2021-11-19,42
774,售前解决方案管培生（上海）,华控清交信息科技（北京）有限公司,2021-11-19,58
775,浙江大学医学院附属第一医院2022年（第一批）招聘公告,浙江大学医学院附属第一医院（浙江省第一医院）,2021-11-19,47
776,研发技术类,福建和盛高科技产业有限公司,2021-11-18,100
777,研发工程师,盘星新型合金材料（常州）有限公司,2021-11-18,50
778,研发助理,盘星新型合金材料（常州）有限公司,2021-11-18,46
779,技术培训生,盘星新型合金材料（常州）有限公司,2021-11-18,48
780,销售工程师,盘星新型合金材料（常州）有限公司,2021-11-18,42
781,结构设计工程师,杭州神林电子有限公司,2021-11-18,38
782,研发工程师,彤程新材料集团股份有限公司,2021-11-18,45
783,高级研发工程师,彤程新材料集团股份有限公司,2021-11-18,41
784,助理研发工程师,彤程新材料集团股份有限公司,2021-11-18,40
785,高级材料工程师,彤程新材料集团股份有限公司,2021-11-18,43
786,分析测试工程师,彤程新材料集团股份有限公司,2021-11-18,42
787,硬件工程师,北京星际导控科技有限责任公司,2021-11-18,123
788,人工智能算法工程师,龙盈智达（北京）科技有限公司,2021-11-18,51
789,技术岗,山东电力设备有限公司,2021-11-18,58
790,技术岗或营销技术支持岗,山东电力设备有限公司,2021-11-18,52
791,数据挖掘与建模工程师,龙盈智达（北京）科技有限公司,2021-11-18,55
792,研发工程师,龙盈智达（北京）科技有限公司,2021-11-18,50
793,风控策略分析师,龙盈智达（北京）科技有限公司,2021-11-18,48
794,产品经理（金融方向）,龙盈智达（北京）科技有限公司,2021-11-18,84
795,电气设计,珠海许继电气有限公司,2021-11-18,75
796,硬件开发,珠海许继电气有限公司,2021-11-18,45
797,软件开发 （嵌入式方向）,珠海许继电气有限公司,2021-11-18,47
798,软件开发,珠海许继电气有限公司,2021-11-18,46
799,技术支持,珠海许继电气有限公司,2021-11-18,60
800,人工智能算法工程师,龙盈智达（北京）科技有限公司,2021-11-18,42
801,产品测试,珠海许继电气有限公司,2021-11-18,43
802,会计,珠海许继电气有限公司,2021-11-18,41
803,人力资源管理,珠海许继电气有限公司,2021-11-18,42
804,数据挖掘与建模工程师,龙盈智达（北京）科技有限公司,2021-11-18,39
805,研发工程师,龙盈智达（北京）科技有限公司,2021-11-18,44
806,风控策略分析师,龙盈智达（北京）科技有限公司,2021-11-18,42
807,产品经理（金融方向）,龙盈智达（北京）科技有限公司,2021-11-18,47
808,测试工程师,龙盈智达（北京）科技有限公司,2021-11-18,45
809,管培生,龙盈智达（北京）科技有限公司,2021-11-18,41
810,数字IC工程师,联发科技（合肥）有限公司,2021-11-18,46
811,设备工程师,英洛华科技股份有限公司,2021-11-18,47
812,质量工程师,英洛华科技股份有限公司,2021-11-18,42
813,生产管理岗,英洛华科技股份有限公司,2021-11-18,44
814,职能管理岗,英洛华科技股份有限公司,2021-11-18,60
815,项目经理,英洛华科技股份有限公司,2021-11-18,43
816,供应链管理采购,英洛华科技股份有限公司,2021-11-18,41
817,生物医学硕博人才,兰州安必奇生物科技有限公司,2021-11-18,41
818,天线工程师,东莞同济大学研究院,2021-11-18,47
819,射频工程师,东莞同济大学研究院,2021-11-18,43
820,雷达系统工程师,东莞同济大学研究院,2021-11-18,49
821,视觉应用工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,38
822,视觉应用工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,38
823,视觉开发工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,41
824,数据算法工程师,东莞同济大学研究院,2021-11-18,44
825,技术支持工程师,中国大恒（集团）有限公司北京图像视觉技术分公司,2021-11-18,43
826,芯片工程师,材料科学姑苏实验室,2021-11-18,48
827,外延工程师,材料科学姑苏实验室,2021-11-18,43
828,软件工程师,东莞同济大学研究院,2021-11-18,44
829,外延研发科学家,材料科学姑苏实验室,2021-11-18,39
830,管理培训生,华立集团股份有限公司,2021-11-18,79
831,前端工程师,东莞同济大学研究院,2021-11-18,41
832,芯片研发科学家,材料科学姑苏实验室,2021-11-18,62
833,PFGA工程师,东莞同济大学研究院,2021-11-18,44
834,版图设计工程师（Layout engineer),东莞同济大学研究院,2021-11-18,40
835,机械研发工程师,杭州久益机械股份有限公司,2021-11-18,39
836,电气工程师,杭州久益机械股份有限公司,2021-11-18,39
837,产品工程师（技术支持）,杭州久益机械股份有限公司,2021-11-18,42
838,编译验证实习生,北极雄芯信息科技（西安）有限公司,2021-11-18,43
839,设备管理工程师,杭州久益机械股份有限公司,2021-11-18,40
840,振动噪声测试工程师,杭州久益机械股份有限公司,2021-11-18,36
841,仿真分析工程师,杭州久益机械股份有限公司,2021-11-18,36
842,工艺工程师,杭州久益机械股份有限公司,2021-11-18,34
843,型线设计工程师,杭州久益机械股份有限公司,2021-11-18,35
844,销售应用工程师,杭州久益机械股份有限公司,2021-11-18,38
845,管理培训生,杭州久益机械股份有限公司,2021-11-18,37
846,信息安全开发工程师,航天信息股份有限公司北京智税分公司,2021-11-18,55
847,硬件工程师,山东新北洋信息技术股份有限公司,2021-11-18,103
848,热招：IT互联网高端猎头顾问/管培生（欢迎转行，欢迎应届生，北京朝阳门包住）,北京嗨猎咨询有限公司,2021-11-18,46
849,嵌入式软件工程师,山东新北洋信息技术股份有限公司,2021-11-18,120
850,算法工程师岗,山东新北洋信息技术股份有限公司,2021-11-18,108
851,机械设计研发岗1,山东新北洋信息技术股份有限公司,2021-11-18,109
852,软件工程师（C++）,山东新北洋信息技术股份有限公司,2021-11-18,98
853,人资专员,山东众阳健康科技集团有限公司,2021-11-18,53
854,财务专员,山东众阳健康科技集团有限公司,2021-11-18,75
855,教师,新余学院,2021-11-18,74
856,售前工程师,山东众阳健康科技集团有限公司,2021-11-18,49
857,JAVA开发工程师,山东众阳健康科技集团有限公司,2021-11-18,47
858,前端开发工程师,山东众阳健康科技集团有限公司,2021-11-18,48
859,【华睿科技】2022届FPGA工程师,浙江华睿科技股份有限公司,2021-11-18,109
860,【华睿科技】2022届算法优化工程师,浙江华睿科技股份有限公司,2021-11-18,120
861,【华睿科技】2022届硬件工程师,浙江华睿科技股份有限公司,2021-11-18,115
862,【华睿科技】2022届C++软件工程师,浙江华睿科技股份有限公司,2021-11-18,120
863,专任教师,东莞理工学院,2021-11-17,109
864,市场助理,深圳中正信息科技有限公司,2021-11-17,47
865,数字前端工程师,上海宇勘科技有限公司,2021-11-17,68
866,模拟集成电路设计师,上海宇勘科技有限公司,2021-11-17,67
867, 版图工程师,上海宇勘科技有限公司,2021-11-17,54
868,营运助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,48
869,招商助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,46
870,人力行政助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,53
871,市场推广助理,万达商业管理集团有限公司咸阳分公司,2021-11-17,47
872,慧云助理工程师,万达商业管理集团有限公司咸阳分公司,2021-11-17,47
873,出纳,万达商业管理集团有限公司咸阳分公司,2021-11-17,50
874,产品项目管理工程师,北京安博通科技股份有限公司,2021-11-17,44
875,产品项目支持工程师,北京安博通科技股份有限公司,2021-11-17,46
876,橙星管培生（车物理赔岗）,中国平安财产保验股份有限公司北京分公司,2021-11-17,116
877,研发工程师,英洛华科技股份有限公司,2021-11-17,47
878,工艺工程师,英洛华科技股份有限公司,2021-11-17,43
879,产品工程师,北京安博通科技股份有限公司,2021-11-17,46
880,产品工程师,北京安博通科技股份有限公司,2021-11-17,48
881,交付管理工程师,北京安博通科技股份有限公司,2021-11-17,45
882,行业售前,北京安博通科技股份有限公司,2021-11-17,44
883,行业售前,北京安博通科技股份有限公司,2021-11-17,44
884,战略售前,北京安博通科技股份有限公司,2021-11-17,42
885,电性能设计工程师,东莞同济大学研究院,2021-11-17,39
886,材料工程师,东莞同济大学研究院,2021-11-17,43
887,技术员,东莞同济大学研究院,2021-11-17,40
888,售前测试及招投标工程师,北京安博通科技股份有限公司,2021-11-17,40
889,售后技术支持工程师,北京安博通科技股份有限公司,2021-11-17,40
890,售后技术支持工程师,北京安博通科技股份有限公司,2021-11-17,47
891,应用协议开发与测试工程师,北京安博通科技股份有限公司,2021-11-17,60
892,C开发工程师,北京安博通科技股份有限公司,2021-11-17,47
893,C开发工程师,北京安博通科技股份有限公司,2021-11-17,41
894,陶瓷材料技术工程师,东莞同济大学研究院,2021-11-17,39
895,天线罩电性能设计工程师,东莞同济大学研究院,2021-11-17,38
896,技术员,东莞同济大学研究院,2021-11-17,37
897,测试工程师,北京安博通科技股份有限公司,2021-11-17,46
898,软件开发工程师,山东山大华天软件有限公司,2021-11-17,50
899,售前工程师,山东山大华天软件有限公司,2021-11-17,46
900,实施工程师,山东山大华天软件有限公司,2021-11-17,51
901,因光而遇，向光而行 | 2022新思科技校园招聘全新启动！,新思科技（武汉）有限公司,2021-11-17,41
902,结构工程师,东莞同济大学研究院,2021-11-17,41
903,电控工程师,临工集团济南重机有限公司,2021-11-17,39
904,橙星管培生（非水险理赔岗）,中国平安财产保验股份有限公司北京分公司,2021-11-17,104
905,橙星管培生（数据分析岗）,中国平安财产保验股份有限公司北京分公司,2021-11-17,103
906,结构设计工程师,临工集团济南重机有限公司,2021-11-17,38
907,IT软件工程师,临工集团济南重机有限公司,2021-11-17,42
908,电子工程师,江苏势通生物科技有限公司,2021-11-17,44
909,游戏市场调研实习生,维塔士电脑软件（西安）有限公司,2021-11-16,48
910,游戏开发工程师（C++）,维塔士电脑软件（西安）有限公司,2021-11-16,54
911,前后端技术开发,凯捷咨询（中国）有限公司,2021-11-16,48
912,自动化工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,44
913,技术销售工程师,荷兰帕沃英蒂格盛有限公司深圳代表处,2021-11-16,47
914,机械工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,49
915,嵌入式软件开发工程师,北京万维盈创科技发展有限公司,2021-11-16,67
916,游戏开发C++实习生,维塔士电脑软件（西安）有限公司,2021-11-16,46
917,游戏前端开发工程师,竞技世界（北京）网络技术有限公司,2021-11-16,94
918,⼤数据开发⼯程师,上海吉世代网络科技有限公司,2021-11-16,48
919,软件工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,46
920, 后端开发⼯程师（Golang),上海吉世代网络科技有限公司,2021-11-16,47
921,Java开发工程师,北京万维盈创科技发展有限公司,2021-11-16,45
922,Android开发工程师,北京万维盈创科技发展有限公司,2021-11-16,43
923,工艺工程师,北京万维盈创科技发展有限公司,2021-11-16,44
924,图像算法工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,45
925,电子工程师（20212022届）,衡阳镭目科技有限责任公司,2021-11-16,42
926,IT运维工程师,中国贸促会专利商标事务所有限公司,2021-11-16,45
927,存储软件开发工程师,深圳市泛联信息科技有限公司,2021-11-16,39
928,网管前台工程师,深圳市泛联信息科技有限公司,2021-11-16,41
929,网管后台工程师,深圳市泛联信息科技有限公司,2021-11-16,41
930,软件测试工程师,深圳市泛联信息科技有限公司,2021-11-16,44
931,销售支持,深圳市泛联信息科技有限公司,2021-11-16,40
932,研发岗,四川航天川南火工技术有限公司,2021-11-16,39
933,软件工程师（C++）,爱科微半导体（上海）有限公司,2021-11-16,45
934,射频IC设计工程师,爱科微半导体（上海）有限公司,2021-11-16,66
