序号,招聘主题,用人单位,发布日期,浏览次数
89,生产研发工程师,浙江黎明智造股份有限公司,2021-12-23,76
90,质量工程师,浙江黎明智造股份有限公司,2021-12-23,70
91,模具设计工程师,浙江黎明智造股份有限公司,2021-12-23,71
92,电气自动化工程师,浙江黎明智造股份有限公司,2021-12-23,68
93,量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,73
94,渠道销售经理,深圳市巨博华投资有限公司,2021-12-23,78
95,量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,70
96,量化系统开发工程师,深圳市巨博华投资有限公司,2021-12-23,67
97,软件工程师,浙江黎明智造股份有限公司,2021-12-23,74
98,项目工程师,浙江黎明智造股份有限公司,2021-12-23,72
99,生产管理,浙江黎明智造股份有限公司,2021-12-23,75
100,量化研究员/行业研究员/高级开发,深圳市影子投资管理有限公司,2021-12-23,70
101,自动化工程师,海澜智云科技有限公司,2021-12-22,85
102,电仪工程师,海澜智云科技有限公司,2021-12-22,73
103,化工工程师,海澜智云科技有限公司,2021-12-22,71
104,节能项目经理,海澜智云科技有限公司,2021-12-22,82
105,短视频编导,旷世传声传媒科技有限责任公司,2021-12-22,68
106,阳光电源2022届全球校园招聘秋招补录,阳光电源股份有限公司,2021-12-22,100
107,美资企业-猎头实习生（招聘方向）,讯升（上海）人力资源有限公司成都分公司,2021-12-22,73
108,光学工程师,深圳市矽赫科技有限公司,2021-12-22,77
109,机械工程师,深圳市大族光电设备有限公司,2021-12-22,69
110,电气工程师,深圳市大族光电设备有限公司,2021-12-22,68
111,香港科技大学数据建模硕士学位项目（MSc DDM）1月宣讲会（线上+线下）通知,南京途善久文化传播有限公司,2021-12-22,77
112,硬件工程师,深圳市矽赫科技有限公司,2021-12-22,69
113,生产专训生,滦州伊利乳业有限责任公司,2021-12-22,76
114,毫米波雷达算法工程师(上海/常州）,德心智能科技（常州）有限公司,2021-12-22,73
115,雷达信号处理工程师（上海/常州）,德心智能科技（常州）有限公司,2021-12-22,73
116,工艺工程师,深圳市大族光电设备有限公司,2021-12-22,81
117,多益网络2022届校园招聘补录,多益网络有限公司,2021-12-22,85
118,美丽中国支教项目老师（研后空宣）,北京立德未来助学公益基金会,2021-12-21,89
119,技术/销售工程师,北京爱万提斯科技有限公司,2021-12-21,79
120,研究员,兴业经济研究咨询股份有限公司,2021-12-21,86
121,电气师,中国电建集团青海省电力设计院有限公司,2021-12-21,83
122,机械及车辆工程专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,62
123,材料化工类专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,61
124,商标代理人助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,63
125,电子及通讯工程专利代理人及助理,北京英创嘉友知识产权代理事务所（普通合伙）,2021-12-21,72
126,机械设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,62
127,电气设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,65
128,软件设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,61
129,光学设计类,北京半导体专用设备研究所（中国电子科技集团公司第四十五研究所）,2021-12-21,60
130,机械助理工程师,深圳市赢合科技股份有限公司,2021-12-21,56
131,电气助理工程师,深圳市赢合科技股份有限公司,2021-12-21,59
132,软件助理工程师（开发方向）,深圳市赢合科技股份有限公司,2021-12-21,59
133,软件助理工程师（实施方向）,深圳市赢合科技股份有限公司,2021-12-21,55
134,软件助理工程师（上位机方向）,深圳市赢合科技股份有限公司,2021-12-21,58
135,机械工程师,深圳市赢合科技股份有限公司,2021-12-21,60
136,电气工程师,深圳市赢合科技股份有限公司,2021-12-21,55
137,图像算法研究员,佳能医疗系统（中国）有限公司,2021-12-21,62
138,医疗软件工程师,佳能医疗系统（中国）有限公司,2021-12-21,64
139,工程师,北京汽车研究总院有限公司,2021-12-21,61
140,设备工程师,无锡车联天下信息技术有限公司,2021-12-20,76
141,PS 工程师,无锡车联天下信息技术有限公司,2021-12-20,76
142,NPI 工程师,无锡车联天下信息技术有限公司,2021-12-20,77
143,Labview 工程师,无锡车联天下信息技术有限公司,2021-12-20,74
144,结构工程师,无锡车联天下信息技术有限公司,2021-12-20,75
145,测试工程师,无锡车联天下信息技术有限公司,2021-12-20,69
146,IOS 开发工程师,无锡车联天下信息技术有限公司,2021-12-20,73
147,JAVA 开发工程师,无锡车联天下信息技术有限公司,2021-12-20,69
148,H5 前端工程师,无锡车联天下信息技术有限公司,2021-12-20,73
149,硬件工程师,无锡车联天下信息技术有限公司,2021-12-20,71
150,仪表软件工程师,无锡车联天下信息技术有限公司,2021-12-20,70
151,MCU 软件工程师,无锡车联天下信息技术有限公司,2021-12-20,70
152,集成测试工程师,无锡车联天下信息技术有限公司,2021-12-20,72
153,安卓软件工程师,无锡车联天下信息技术有限公司,2021-12-20,70
154,电芯工程师,华富（江苏）锂电新技术有限公司,2021-12-20,61
155,电子工程师,华富（江苏）锂电新技术有限公司,2021-12-20,56
156,结构工程师,华富（江苏）锂电新技术有限公司,2021-12-20,67
157,SMT 工程师,无锡车联天下信息技术有限公司,2021-12-20,71
158,PQM 工程师,无锡车联天下信息技术有限公司,2021-12-20,66
159,QE 工程师,无锡车联天下信息技术有限公司,2021-12-20,66
160,实验室工程师,无锡车联天下信息技术有限公司,2021-12-20,70
161,电力机车机械设计师、工艺师,中车大同电力机车有限公司,2021-12-20,67
162,市场营销岗,沈阳兴华航空电器有限责任公司,2021-12-20,59
163,设计研发岗,沈阳兴华航空电器有限责任公司,2021-12-20,56
164,生产管理岗,沈阳兴华航空电器有限责任公司,2021-12-20,56
165,品牌主播,旷世传声传媒科技有限责任公司,2021-12-20,59
166,高压绝缘研究员（博士）,珠海市睿影科技有限公司,2021-12-20,56
167,中小学教师,桓台县红莲湖学校,2021-12-20,62
168,直播运营管培生,旷世传声传媒科技有限责任公司,2021-12-20,61
169,攀枝花学院2021年第五批直接考核招聘高层次人才公告,北京磐石活水信息科技有限公司,2021-12-18,63
170,电子工程师,武汉中电通信有限责任公司,2021-12-18,56
171,结构工程师,佛山市芯耀环保科技有限公司,2021-12-17,134
172,研发工程师,佛山市芯耀环保科技有限公司,2021-12-17,64
173,工艺工程师,佛山市芯耀环保科技有限公司,2021-12-17,60
174,品质工程师,佛山市芯耀环保科技有限公司,2021-12-17,61
175,人事行政,佛山市芯耀环保科技有限公司,2021-12-17,58
176,产品策划专员,佛山市芯耀环保科技有限公司,2021-12-17,62
