序号,招聘主题,雇主类型
106,华夏人寿保险股份有限公司2022届校园招聘启事,金融企业
107,小米集团2022全球校园招聘-汽车专项,互联网科技企业
108,小黑盒2022年校招,互联网科技企业
109,紫光数码集团2022年度高校毕业生招聘,工业科技企业
110,福州大学博士后科研流动站2022年人才招聘计划,互联网科技企业
111,湖南省融资担保集团2022校园招聘,其他类型企业
112,新乡医学院2021年诚聘海内外高层次人才,互联网科技企业
113,宁夏大学煤炭高效利用与绿色化工国家重点实验室 学术带头人/青年研究骨干/博士后招聘,互联网科技企业
114,东北电力大学2021-2022年诚聘海内外人才,互联网科技企业
115,网易有道2022届秋季校园招聘火热进行ing,互联网科技企业
116,深圳市巨博华投资有限公司，期待与聪明勤奋、不甘平庸、正直守信的你，携手打造中国最优秀的量化交易团队,金融企业
117,中信证券北京分公司2022年校园招聘,金融企业
118,上海交通大学微纳工程科学重点实验室2021-2022年招聘简章,互联网科技企业
119,中山大学微电子科学与技术学院人才招聘,社会企业
120,2022年徐工机械建设机械分公司校园招聘,工业科技企业
121,北京司拓民航科技有限责任公司 2022年校园招聘简章,互联网科技企业
122,【金融科技·创变未来】中金公司信息技术部2022届应届生专项招聘,其他类型企业
123,首钢集团财务有限公司招聘,其他类型企业
124,2022中国电建集团青海省电力设计院有限公司电气师校园招聘,工业科技企业
125,北京市地铁运营有限公司技术创新研究院招聘,研究机构
126,【空中宣讲】多益网络2022校园招聘-补录专场,互联网科技企业
127,闽南科技学院2021-2022学年招聘启事,互联网科技企业
128,2022年应届生招聘,金融企业
129,【佳能医疗】研发岗：AI算法/C++开发,医疗科技企业
130,全球招聘！科学岛诚邀海内外人才加盟！,研究机构
131,远东控股集团2022校园招聘,金融企业
132,2021-2022年中车唐山机车车辆有限公司招聘启事,其他类型企业
133,行业第一，宇通集团2022年应届毕业生管培生招聘简章,互联网科技企业
134,中国发展研究基金会2022年招聘启事,互联网科技企业
136,南京理工大学基础前沿交叉中心教师招聘,教育单位类
137,慧策（北京掌上先机网络科技有限公司）2022校园招聘,互联网科技企业
138,广西师范大学2021年人才招聘公告,社会企业
139,桂林理工大学2021年诚聘海内外人才,社会企业
140,中企伍佰信息技术研究院招聘院长助理,研究机构
141,耀未来，乘青春——耀乘健康2022校园招聘,互联网科技企业
142,上海天数智芯半导体有限公司2022校园招聘文稿,工业科技企业
143,ASM先进科技2022校园招聘补录,互联网科技企业
144,陕西科技大学2022年博士后研究人员招收公告,社会企业
145,石家庄医学高等专科学校2022年教师招聘,互联网科技企业
146,广东电网有限责任公司2022年博士后人员招聘启事,社会企业
147,中国电子科技集团公司第十一研究所招聘,研究机构
148,诺唯赞2022全球校园招聘—博士人才招聘计划正式启动,互联网科技企业
149,北京大兴国际机场航空食品有限公司 2022年校园招聘,生活类企业
150,上海中广核工程科技有限公司2022校园招聘,工业科技企业
151,三环集团2022届秋季校园招聘,其他类型企业
152,客户经理,工业科技企业
153,北京宏天信业信息技术股份有限公司 -- 应届毕业生招聘,互联网科技企业
154,广州虹科电子2022秋季校园招聘（全国）,互联网科技企业
155,大连人才服务中心 “学子来连、业成滨城”2021-2022 空中双选会邀请函,教育单位类
156,包头市文化旅游广电局2021年直属单位人才引进公告,人文知识企业
157,海纳天下才，智汇石家庄——第一届石家庄“海石杯”高层次人才创新创业大赛,其他类型企业
158,中信证券北京分公司培训生,金融企业
159,九江学院2022年诚聘海内外人才,互联网科技企业
160,谷斗科技招聘简章,互联网科技企业
162,中国石化大连石油化工研究院全球招聘人才公告,互联网科技企业
163,山东电力设备有限公司2022届毕业生招聘,工业科技企业
164,重庆邮电大学高层次人才招聘,教育单位类
165,商业航天明星企业【零壹空间】校招答疑会来啦！！,互联网科技企业
166,物美科技集团简介,其他类型企业
167,江西应用技术职业学院2021年下半年公开招聘高层次人才,互联网科技企业
168,曲靖师范学院2021年公开招聘事业编制高层次人才,互联网科技企业
169,中国农业银行研发中心2022年秋季校园招聘,金融企业
170,上海人工智能实验室招聘公告,互联网科技企业
171,超星集团秋季校园招聘,其他类型企业
172,高和资本2022届新生力校园招聘,金融企业
173,慧策（北京掌上先机网络科技有限公司）2022秋季校园招聘,互联网科技企业
174,给你舞台，让你精彩-同达信恒面向理工科招聘,人文知识企业
175,中国石化上海石油化工研究院2021-2022年度人才招聘,互联网科技企业
176,放手而为，成就精彩，英特尔中国2022校园招聘研发岗补招进行中！,其他类型企业
177,2022年中国安全防伪证件研制中心,教育单位类
178,北京龙双利达知识产权代理有限公司招聘简章 （工作地点：北京、西安、南京）,人文知识企业
179,百年西建大 引才进行时-西安建筑科技大学2021年教师（师资博士后）招聘公告,社会企业
180,初中各学科教师,教育单位类
182,高中各学科骨干教师,教育单位类
183,炬光科技2022校园招聘简章,互联网科技企业
184,你与我的距离 只有一封简历的厚度,互联网科技企业
185,攀枝花学院2021年第五批直接考核招聘高层次人才公告,互联网科技企业
186,燕山大学2021-2022年诚聘海内外优秀人才,社会企业
187,新加坡国立大学重庆研究院招聘及博士生招生简章,研究机构
188,广西电力职业技术学院2021年博士人才专项招聘公告,互联网科技企业
189,中国工程物理研究院 研究生院诚聘英才,互联网科技企业
190,中信证券北京分公司管培生 18个月培训期,金融企业
191,南方科技大学计算机科学与工程系2022年实验教学人员招聘启事,互联网科技企业
192,卧龙采埃孚汽车电机有限公司 2022届招聘启事,工业科技企业
194,网易有道2022届秋季校园招聘,互联网科技企业
195,江苏科技大学2021年诚聘海内外优秀人才,互联网科技企业
196,四川轻化工大学2022年人才引进政策,教育单位类
197,北京宏达一甲教育科技有限公司2022招聘季,互联网科技企业
198,科讯嘉联 2022 届校园招聘简章,互联网科技企业
199,小米集团2022全球校园招聘-热招岗位,互联网科技企业
