序号,招聘主题,雇主类型
184,算法工程师/三位重建算法工程师,其他类型企业
185,机械/电气设备检修/运维/工艺工程师,其他类型企业
186,定向培养生 （公司金融营销方向）/定向培养生 （私人银行方向）/市场营销岗 （公司金融方向）/市场营销岗 （财富管理方向）/市场营销岗 （零售金融方向）/柜员岗等,金融企业
187,土木工程/工程管理/材料/安全/财会/职能管理,专业技术服务企业
188,硬件工程师/软件工程师,研究机构
189,生产管理/船舶检验/安全管理,其他类型企业
190,唯品会物流管理培训生,互联网科技企业
192,文史哲类/新闻传播类/外语类/法学类/公安学类/计算机类/通信类/生物类/财经类/管理类/材料类/政治学类/数学类/化学类/统计学类/公计与审计类,其他类型企业
193,学科教师,互联网科技企业
194,软件工程师/算法工程师/惯导研发工程师/嵌入式工程师/光学设计工程师/光电系统算法工程师/集成电路设计工程师,互联网科技企业
195,通讯技术\电子\半导体\建筑\电气\能源\自动化\仪器仪表\航天\航空\冶金\钢铁\机械\机电,互联网科技企业
196,文职人员,工业科技企业
197,法律部法律事务岗,金融企业
199,智能制造与精密制造研发工程师（精密装备开发与自动化）/算法工程师（媒件算法）/硬件技术工程师（定制模件组）/硬件技术工程师（高速&amp;amp;amp;高频信号完整性）/结构与材料工程师/解决方案测试工程师/软件开发工程师（应用软件）/ID与UX设计师,互联网科技企业
200,平台研发类,互联网科技企业
201,科技管理类岗位/科技研发运营类岗位,其他类型企业
202,研发类/技术类,互联网科技企业
203,管理培训生,互联网科技企业
205,研发工程师/ 电子工程师/嵌入式软件工程师/ 图像算法工程师/国际销售/ 国内大客户销售/ 人力资源管培生/ 财务管培生/投资管培生,互联网科技企业
206,电芯工程师/电气工程师/结构工程师/热仿真工程师/工艺工程师/软件工程师/硬件工程师/国际销售工程师/国内销售工程师/质量工程师/设备工程师/管培生,其他类型企业
207,【江苏泰州】校园招聘“百日行”活动,教育单位类
208,管理类/市场类/IT类/财务类/技术类/法务类,其他类型企业
210,产品总体设计师/数字信号处理师/微波设计师/数据链设计师,工业科技企业
211,程序研发类/策划类/美术设计类/运营类/职能类,互联网科技企业
212,有机合成研发员/国外外贸员/国内业务员/药物分析员/IT工程师,医疗科技企业
213,Fintech管理培训生/管理培训生,金融企业
214,商务外贸岗/财务管理岗/人力资源岗/机械设计岗/电气开发岗/机械设计岗/法务岗/软件开发岗/视觉开发岗,工业科技企业
215,原画设计师（场景or角色） 成都 /3D角色设计师 北京/成都 /3D场景设计师（物件or地编方向） 成都 /3D动作设计师 北京/成都 /游戏策划 北京/成都 /互联网程序类 /IOS工程师 北京 /golang/java数据开发工程师 北京 /推荐算法工程师 北京 /web开发工程师 北京 /Java开发工程师 北京 /招聘专员 北京 /TS开发工程师 北京/成都 /UE初级工程师（黄埔）（c++/JAVA）） 北京/成都,互联网科技企业
216,图书编辑/期刊编辑/校对/编导/营销销售/财务管理,研究机构
217,电子科学与技术/计算机科学与技术/仪器科学与技术等,工业科技企业
218,2023实习生招聘（含寒暑期）,互联网科技企业
219,自动化类/工商管理类/材料类/土木类/机械类/化工类/经济学类,金融企业
220,软件应用测试实习生,互联网科技企业
221,实习工程师/Java后端/Vue前端,专业技术服务企业
222,Java开发工程师/前端开发工程师/产品经理,互联网科技企业
223,质量工程师/外贸销售工程师/软件测试工程师/测试开发工程师/工业设计师/结构工程师产品开发工程师/硬件开发工程师/后端java开发工程师驻外销售工程师/驻外技术支持工程师/技术方案工程师/嵌入式软件开发工程师i,互联网科技企业
224,信息技术类,互联网科技企业
225,项目助理,互联网科技企业
227,分析研究员/合成研究员/制剂研究员/产品经理/临床医学专员/临床监查员/商务经理,医疗科技企业
228,芯片研发/软件研发/硬件研发/软件测试/产品测试/市场营销/技术支持/智能制造/财务管理/供应链类,互联网科技企业
229,行政/党群专员,研究机构
230,电机结构设计/电机设计/齿轮设计/电机试验及测试/电机控制器硬件/软件/结构设计工程师,工业科技企业
231,管理咨询师/大数据分析师/企业文化咨询师/人资管理咨询师/卓越绩效管理咨询师,专业技术服务企业
232,工程设计岗 /项目管理/全过程项目咨询岗 /策划咨询/职能管理岗等,工业科技企业
233,项目研究员/科普智库建设研究岗/影像编辑/科学表演岗/科技辅导教师/多媒体设计岗/机械设计岗/电控设计岗/艺术设计岗/影视主持人兼影视编辑/电控设计与制作岗/信息化开发运维岗/工程管理岗/职员/财务岗/综合处公文会议岗/博物馆运营研究岗等,教育单位类
234,技术岗/营销技术支持岗,工业科技企业
235,专任教师,教育单位类
236,技术研究类/技术研发类/生产制造类/技术支持类/供应链质量类/市场营销类,其他类型企业
237,审计助理,生活类企业
239,数字集成电路设计工程师/数字集成电路验证工程师/软件工程师/硬件工程师/应用工程师 /集成电路芯片测试和应用工程师/IC Layout Designer 集成电路版图设计/IC SQE 品质测试工程师,工业科技企业
240,总行管理培训生,金融企业
241,研发类/ 临床工程师 /注册工程师 /硬件工程师 /FPGA工程师 /算法软件工程师 / 应用软件工程师/ MEMS研发工程师 / 传感器研发工程师 /系统测试工程师 /导管研发工程师 /导管研发工程师,互联网科技企业
242,管理培训生/研发类/设计类/营销类/现场类/职能类,其他类型企业
244,大学教师,教育单位类
245,研发工程师/设计服务工程师,工业科技企业
246,IT互联网猎头顾问/高端猎头顾问/管培生,专业技术服务企业
248,【寒假实习】人力资源实习生,其他类型企业
249,算法工程师/三维图形研发工程师/计算几何研发工程师/图形处理工程师（信号处理方向）/助理光学工程师,医疗科技企业
250,JAVA开发工程师/C++开发工程师/web前端工程师/测试工程师/技术支持工程师/产品经理/人力专员,互联网科技企业
251,综合业务岗/专业技术岗,其他类型企业
252,管理类/市场营销与策划类/运营管理类/财务管理类/建筑工程类/建筑设计类/酒店管理类/会展类/工程造价类/粮油类,其他类型企业
253,信息系统岗,其他类型企业
254,暖通/热能动力/机械设计制造及其自动化/自动化/电气自动化/电子信息工程/计算机科学与技术/软件工程/土木工程/预决算/化学工程,互联网科技企业
256,综合管理类\采编类\技术类\新媒体运营类\台属企业,其他类型企业
257,行政文秘/财务管理/会展业务管理/营销推广/工程设备/信息技术/安防管理/人力资源管理/客户营销和管理(非英语语种储备干部),教育单位类
258,前端工程师/JAVA开发工程师/c++开发工程师/客户端开发工程师-IOS/Android/UI设计师/产品专员/行政专员/会计/内容运营/视频剪辑（平面设计）/文案策划/行业研究员,互联网科技企业
259,世豪新瑞集团管培生（地产）财务/人力行政/研发/精装景观/成本管理/工程管理/招标/营销管理,金融企业
260,信息安全岗/技术开发岗,其他类型企业
261,Java开发实习生,互联网科技企业
262,技术研发类/大数据/算法/Java/前端/云计算/硬件/机械/C语言/职能管理类/职能管培生/企管/人力资源/培训/财务/法务/市场营销类/客户经理/项目专员/产品助理/销售支持,互联网科技企业
263,技术类/IT类/经管与人力类/营销类/生产类/供应链类/财经类,其他类型企业
264,C/C++软件开发助理工程师,互联网科技企业
265,硬件工程师/算法工程师/C++开发工程师/Android应用开发工程师/ARM开发工程师/结构工程师/光学设计工程师/IC设计工程师/版图设计工程师/MEMS设计工程师/MEMS工艺工程师,互联网科技企业
266,销售管理储备干部/后台管培生,互联网科技企业
267,飞行仿真软件工程师/应用软件工程师/航空技术工程师/软件开发工程师,互联网科技企业
268,职业卫生工程师/工安工程师/体系工程师/环保工程师/ERC工程师/电气工程师/机械工程师/水处理工程师/化学系统工程师/气体系统工程师/制程工程师/制程整合工程师/设备工程师/制造工程师/研发工程师/IE工程师/采购助理专员/IT助理工程师/质量与可靠性工程师/HR专员,工业科技企业
269,涉外电学专利代理人/助理实习生（工作语言为英语）/涉外电学专利代理人/助理（工作语言为英语）/专利诉讼律师助理（电学）,生活类企业
270,北交所业务岗,金融企业
271,技术类岗,互联网科技企业
272,新媒体编辑/新媒体运营,互联网科技企业
273,研发工程师/国际销售/人力资源,医疗科技企业
274,2022届校招管理岗,其他类型企业
275,TiKV 分布式存储研发工程师/数字化平台研发工程师/测试平台开发工程师）/安全工程师,互联网科技企业
276,管理类\供应链类\市场类\IT类\财务类\技术类\法务类,其他类型企业
277,综合管理类/财务管理类/规划管理类/设计管理类/工程管理类/工程技术类/信息技术类/金融投资类/投资拓展类/招商运营类/策划运营类/创意设计类,金融企业
278,算法工程师/FPGA逻辑工程师/硬件工程师/硬件测试工程师/软件测试工程师/应用工程师/管培生（数字营销方向）/市场专员/线上运营/管培生（商务方向）,互联网科技企业
279,博士后/惯导算法工程师/嵌入式硬件工程师/嵌入式软件工程师/上位机软件工程师/结构工程师/技术支持工程师/系统集成工程师/测试员,互联网科技企业
280,技术岗/研发岗,其他类型企业
281,JAVA开发工程师/C++开发工程师/web前端工程师/测试工程师/技术支持工程师/产品经理,互联网科技企业
282,电力/电气/继电保护/计算机网络/通信自动化/财务管理/会计/法学法律/文学/工程造价/土木工程等,工业科技企业
283,开发岗,互联网科技企业
284,测试工程师（宁波）/应用设计工程师（宁波）,工业科技企业
285,电力施工管理/电气试验/电气设计/概预算/配电不停电作业等岗位 土建施工管理等岗位 概预算/工程造价等岗位 综合管理/人力资源/财务管理/法律等岗位,高新技术企业
286,机械设计/硬件设计/软件测试/机械工艺/属性测试/质量管理,其他类型企业
287,硬件工程师/逻辑设计工程师/Java开发工程师/C|C++软件开发工程师/算法工程师/Web前端工程师,研究机构
289,.Net 软件开发工程师,金融企业
290,财务专员/人力资源专员/业务综合岗/企业文化/培训专员/产品运营专员/数据分析专员/店面运营专员,金融企业
291,整合营销实习生/学生营销实习生/用户运营实习生/用户策略产品实习生/用户功能产品实习生/内容营销实习生/商家产品经理实习生/供给运营实习生/商户运营实习生/房东运营实习生/房东营销实习生/乡村民宿项目组实习生,互联网科技企业
293,市场经理/信息化咨询师/IT架构师/信息化工程师/通信设计咨询师/数字化咨询师,工业科技企业
294,互联网类（产品经理、运营）/营销类（产品运营、商务拓展）/技术类（电子）/职能类,互联网科技企业
295,JAVA开发工程师,互联网科技企业
296,机械工程师/ 电气工程师/工艺工程师,工业科技企业
298,技术岗位实习生,互联网科技企业
299,人力管培生 /财务管培生 /证券管培生 /综合管培生/ 供应链管培生 /开发管培生/ 产品管培生 /测试工程师 /硬件工程师 /市场拓展/ 商务管理 /售前管培生/ 投标管培生/ 项目管理（通信方向）/ 项目管理（政企方向）等,其他类型企业
300,软件开发工程师\大数据工程师\云计算解决方案工程师\创新技术支撑\网络维护与管理\网络建设工程师\党建宣传\财务分析师\法务专员\人力资源管理师\创新行业经理\经营分析师\互联网营销策划师,互联网科技企业
302,发动机\电控\未来技术\液压传动与控制\齿轮传动与控制\农业装备\智能制造\营销,工业科技企业
303,脑机接口算法工程师/可视化AI算法工程师/系统工程师/前端开发工程师/JAVA开发工程师/测试工程师/医学专员（神经学）/CTA（临床试验助理）/心理咨询师/市场专员/销售培训生,医疗科技企业
304,汽车研发与制造方向/新能源三电方向/智造工艺方向/自动驾驶方向/智控平台方向/智能座舱方向/数据智能方向/数字技术方向/全球营销与用户方向/用户营销与服务方向/新零售方向/飞行控制算法/路径规划算法/汽车电驱/公共事务/行政支持/IT运维,互联网科技企业
305,研发类/工艺/调试/其他类,互联网科技企业
306,APR(数字后端版图工程师）,教育单位类
307,管理职员岗/专职实验岗/辅导员岗,教育单位类
308,教育部直属事业单位 2022年度公开招聘公告（应届生）,互联网科技企业
309,电气技术员/助理机械工程师/机械工程师/光学系统工程师/真空及低温系统工程师/设备工程师（电输运方向）/嵌入式硬件工程师/嵌入式软件工程师/软件工程师（图像处理）/紫外光刻工艺工程师/主动隔振系统工程师,互联网科技企业
311,软件开发测试类/质量管理类/项目管理类/市场营销类）,互联网科技企业
312,技术员/设备动力部技术员/生产技术员/质检化验员/环保员/安全员/研发技术员/市场专员/PMC计划物控/财务管理/IT专员/法务专员/采购专员/人力资源专员/综合管理中心文秘,其他类型企业
313,用户运营/商务拓展/管培生,互联网科技企业
314,英文教师/德育班主任/行政咨询/图书管理员/校务运营岗位/平面设计师,教育单位类
315,光束合成光源总体设计师/光束合成系统仿真分析设计师/激光相位探测与控制系统设计师/主动光学系统控制设计师/激光系统热管控设计师/探测与发射系统光学设计师/探测与发射系统总体结构设计师/大能量激光器设计师/固体激光设计师/光纤激光产品设计师/固体激光放大器设计师/半导体激光器首席研究员/半导体激光器芯片高级产品工程师/半导体激光器芯片设计师/高亮度半导体激光光源设计师/激光系统综合性能评估设计师/光机结构设计师/智能控制架构设计师/高级仿真建模设计师/AI算法设计师/微波源仿真分析师/固态脉冲功率源设计师/微波传输与发射系统设计师/电磁环境测试设计师/电磁环境适应性评估与防护设计师/HPM效应评估分析师/软件设计师/电真空器件高频系统设计师/微波传输、辐射与测试技术副主任设计师/装备数字化架构师/装备智能化主任设计师/装备智能化主任设计师/装备智能化主任设计师/需求分析师/飞秒同步系统设计师/高亮度电子源先进阴极设计师/特种射线源设计师/精密射线成像平台设计师,研究机构
316,江苏省盐南高新区2022年引进优秀毕业生工作公告,金融企业
317,武汉大学学生辅导员/心理健康教育教师,教育单位类
318,规划及开发工程师/网络建设工程师/工程项目管理师/网络运维工程师/市场营销岗/宣传策划岗/媒资制作岗/渠道管理岗/行业客户经理/数据分析岗/审计岗/供应链管理岗/法务岗/财务管理岗/行政综合岗/文秘岗,互联网科技企业
319,iOS开发工程师/产品助理（B端）/UI设计师助理/商务助理/项目助理/内容运营/内容编辑/原创编辑/视频编辑/新媒体运营专员/,互联网科技企业
320,在编中小学教师,其他类型企业
321,IC数字设计/IC验证/FAE工程师/初级嵌入式软件开发/销售工程师,医疗科技企业
322,研发工程师\技术员,其他类型企业
323,江苏省盐城市盐都区各事业单位及国企,其他类型企业
324,器件/粉体-研发工程师＆储备干部,互联网科技企业
325,车辆、机械、计算电子类/电气类/材料/化学/数学/物流管理/市场营销/会计/工商管理/新闻,生活类企业
326,管培生岗位（市场/运营/职能/产品方向）,互联网科技企业
327,职能管理类/品牌策划类/IT类 生产技术类/技术营销类/蓝领技术类/工程管理类,金融企业
328,JAVA开发工程师/C++开发工程师/前端开发工程师/测试工程师/技术支持工程师/产品经理,互联网科技企业
329,审计咨询岗/税务咨询岗/工程咨询岗/资产评估岗/风险咨询岗财务咨询方向/风险咨询岗IT咨询方向/JAVA开发岗/前端开发岗/软件测试岗/人力资源岗,生活类企业
330,销售类储备生,生活类企业
331,博士后 管培生 数字科技方向 /节能环保方向 /智能制造方向 /现代流通方向 /综合管理方向/市场贸易类 /计算机类/ 环保化工类 /机械电气类 /材料冶金类 /土木工程类 /财务金融审计类 /综合管理类 /法务风控类,其他类型企业
332,嵌入式硬件研发工程师/电气研发工程师,工业科技企业
333,Java开发工程师/数据开发工程师/算法开发工程师/前端开发工程师/产品经理/数据分析师,互联网科技企业
335,航天卫星设计,研究机构
336,连锁运营管理方向/线上运营方向/产品运营方向/市场企划方向/产品采购方向/关务方向/品控方向/物流管理方向/销售管理方向/财经管理方向/人力资源管理方向/总裁助理方向/IT方向,其他类型企业
337,机器人系统机械设计与控制/机器人电机系统设计与控制 助理研究员/工程师,研究机构
339,审计实习岗/税务实习岗/JAVA开发实习岗/前端开发实习岗/软件测试实习岗/人力资源实习岗,生活类企业
340,算法工程师/安全工程师/运维工程师/测试工程师/开发工程师,其他类型企业
341,福建省内企事业单位各类岗位,教育单位类
342,卫星导航算法设计师 /机器视觉算法设计师 /自动控制算法设计师/ 嵌入式软件设计师 /嵌入式硬 件设计师/ FPGA逻辑设计师/机械设计师/JAVA设计师 /测试工程师 /销售,互联网科技企业
343,销售助理,互联网科技企业
344,仪器研发工程师 /试剂研发工程师 /应用开发工程师/ 实验技术员 /工艺工程师 /售后技术经理 /产品经理 /销售经理 /大客户经理 /临床监察员 /商业分析岗,互联网科技企业
345,新设机构类/总行部分部门类,金融企业
346,PLM开发顾问/PLM实施顾问/MOM开发顾问/MOM实施顾问,互联网科技企业
347,售前助理工程师,互联网科技企业
348,电气设计/硬件开发/软件开发 （嵌入式方向）/软件开发/技术支持/产品测试/会计/人力资源管理,工业科技企业
349,养殖生产岗/综合管培生/畜牧工程部/环保大学生/储备兽医师/基地财务大学生/生产实习生/销售实习生/财务实习生/营销管培生/技术管培生/预算大学生/机械自动化大学生/配方师/生产管理储备干部/采购专员/品质管理储备干部/人力资源管培生/财务管理专员/审计专员/法务专员/监察专员/初级开发工程师,互联网科技企业
350,超潜管培生（证券研究方向）/财务风控岗,金融企业
351,公务员,教育单位类
352,文职类/技术类,其他类型企业
353,安全技术实习人员,互联网科技企业
354,专业技术岗,其他类型企业
355,航空产品工艺工程师/企业管理,工业科技企业
356,专项研究员,互联网科技企业
357,网络与信息安全技术岗/互联网信息研究岗,互联网科技企业
358,模拟电路设计工程师（电源方向）/ 模拟电路设计工程师（信号链） /数字电路设计工程师/ 测试研发工程师 /测试工程师 /应用工程师（信号链方向）/ 应用工程师（电源方向）/ 现场应用工程师 /版图工程师/版图工程师助理 /设计支持工程师 /项目管理工程师 /IT运维工程师 /射频IC设计工程师 /模拟电路设计工程师（射频方向） /RF MEMS设计工程师 现场应用工程师-射频方向 /测试工程师-射频方向,互联网科技企业
359,研发类 /技术类 /综合职能类,工业科技企业
360,专利代理师（软件通讯、机械、光电、电子电路、生物医药、化学材料领域）,人文知识企业
361,网络与信息安全技术岗,互联网科技企业
362,电学专利工程师/机械专利工程师/生化专利工程师/涉外专利工程师,其他类型企业
363,研发设计类/研发试验类/试验测试类/控制类/电气类/软件类/管理类/技能类/其他类,研究机构
364,新能源学院教师,教育单位类
365,行业研究岗,其他类型企业
367,辅导员,教育单位类
368,学校教学类/医疗卫生类,其他类型企业
369,外延工程师/芯片工程师,研究机构
371,大学生和技能人才,互联网科技企业
372,机械/算法/软件/嵌入/电气/测控/软件测试/光学/硬件/运动控制/固件/产品经理,互联网科技企业
373,风险管理（上海+郑州）/市场营销（上海）/数据分析（上海）/软件研发（郑州）/信息安全（郑州）/UI（上海+郑州）,其他类型企业
374,编辑记者/营销发行/业务管理/计算机,影视传媒类
375,激光工艺工程师/销售工程师/采购工程师/软件工程师/技术支持工程师/设备装配调试工程师/七、控制工程师,互联网科技企业
376,江苏省阜宁县2022年面向全国部分高校 和境外世界名校引进优秀毕业生工作公告,政府企业
377,人力资源岗/党务干事/行政综合岗/投资管理岗/企业管理岗/财务会计/工程管理岗/技术管理岗/安全管理岗/充电桩业务,高新技术企业
379,郑州太古可口可乐管理培训生,生活类企业
380,教育系统,高新技术企业
381,研发工程师/高级研发工程师/电气自动化/机械工程,工业科技企业
382,IC测试开发工程师（无锡、南京）/ IC应用验证工程师（无锡）/ 硬件开发工程师（无锡）/ 检验工程师（无锡）/ 试验工程师（无锡）/产品工程师（无锡、南京）/ 设备维护工程师（无锡）/市场业务员（成都、西安、无锡）,互联网科技企业
383,IT研发方向,金融企业
385,电气设计工程师,互联网科技企业
387,技术开发工程师,政府企业
388,党务管理员/纪检监察员/消防管理员/直播营销策划员/直播营销主播/产品研发员/香精香料研究员/人工智能研发员/互联网及新媒体研究员/烟叶生产技术员/信息数据管理员/物流管理员1/物流管理员2/ 烟叶养护员/技术员1/技术员2/技术员3/操作员/技术员1/技术员2/技术员3/技术员4/综合管理员/操作员,工业科技企业
389,日语运营,互联网科技企业
391,专利工程师,其他类型企业
392,测试助理工程师/电子助理工程师/照明设计/机械助理工程师/工业设计/国内销售/海外销售,互联网科技企业
393,技术研发类/工程服务类/市场营销类/生产制造类/管理培训生/职能类,互联网科技企业
394,网络空间安全学院教师,教育单位类
395,中物院高性能数值模拟软件中心研发岗,研究机构
397,初中数学教师,教育单位类
398,产品/工艺/材料工程 /机械设计/ 等离子体/射频工程等,工业科技企业
399,模拟电子工程师/电力电子工程师/数字电子工程师/软件开发工程师/嵌入式软件工程师/自动控制工程师/电磁兼容工程师/安规认证工程师,互联网科技企业
400,深圳市建筑科学研究院股份有限公司2022年校招公信检测员/助理结构工程师/助理建筑师,研究机构
401,连锁运营管理方向/线上运营方向/产品运营方向/市场企划方向/产品采购方向/关务方向/品控方向/物流管理方向/销售管理方向/财经管理方向/人力资源管理方向/总裁助理方向/IT方向/,其他类型企业
402,现场应用工程师/电源应用工程师/模拟/混合集成电路设计/验证工程师/IC验证工程师,互联网科技企业
403,java开发/web前端开发,互联网科技企业
404,市场营销类/销售运营类/技术研发类/人力行政管理类/财务管理类,影视传媒类
406,Python开发工程师/量子器件工程师/微波工程师/FPGA开发工程师/量子测控科学家/硬件工程师/C++软件开发工程师/IDE开发工程师/机器学习工程师/算法工程师（量子程序编译方向）等,互联网科技企业
407,研发类/销售类/职能类,其他类型企业
408,图像算法/视觉算法工程师/机器人控制算法工程师/机械设计工程师/图像处理算法工程师/机器人视觉应用工程师/电气设计工程师/助理电气工程师,研究机构
409,机械工程师,其他类型企业
410,保险精算 /财会投资 /内控稽核 /信息技术 /通用前台 /通用中台 /通用后台,金融企业
411,机械工程师/电气工程师/工艺工程师,互联网科技企业
412,理财顾问/ 项目经理/投顾助理/储备管理,金融企业
413,后端开发工程师/前端开发工程师/算法工程师/机器学习/数据挖掘/自然语言处理工程师/大数据研发工程师/分布式数据平台开发工程师,互联网科技企业
414,技术研发岗,工业科技企业
416,销售类/技术服务类/售后服务类/教育培训类/智能智造自动化方向/智能智造软件开发方向,工业科技企业
417,C++开发工程师/服务端开发工程师/前端开发工程师/算法工程师/软件测试工程师,互联网科技企业
418,嵌入式工程师/硬件设计工程师（助理）/售后FAE/应用软件开发/商显售前工程师/外观、ID设计/PCB layout设计师/软件测试工程师/结构设计师/项目助理工程师,互联网科技企业
419,软件工程师/硬件工程师/结构工程师/测试工程师,高新技术企业
421,汽车研发（北京/上海) /自动驾驶（北京/上海）/智能与信息技术（北京/上海）/生产制造（北京/江苏常州）/供应链（北京/上海/江苏常州/四川绵阳） /综合管理（北京/上海/常州）/ 职能（北京/上海/常州,生活类企业
422,Trainee-自动化方向,其他类型企业
423,基站物理层开发工程师/DSP程序开发工程师/物理层算法岗,互联网科技企业
424,科研人员,研究机构
425,量化策略研究员（实习留用）,互联网科技企业
426,四川省2022届急需紧缺专业选调生\市属事业单位以及各县（区）引进人才\市属国有或国有控股企业引进人才,社会企业
427,工程师,金融企业
428,嵌入式系统开发工程师/产品工程师/结构设计工程师/技术支持工程师,互联网科技企业
429,技术销售工程师/大客户经理/软件工程师/硬件工程师/网络安全工程师/通信工程师/射频微波（5G）测试工程师/中央监测系统工程师/操作系统工程师/汽车电子技术工程师/汽车诊断应用工程师/NVH工程师/自动化技术工程师/QT开发工程师/嵌入式工程师/产品拓展专员/大客户专员/网站开发工程师/网站内容/市场专员/储备财务经理/招聘专员,互联网科技企业
430,人力行政管培生/公共关系管培生等,其他类型企业
431,产品管培生/市场管培生/职能管培生/运营管培生,互联网科技企业
432,化工类等,工业科技企业
434,储备人才类/机务类/航务类/地面服务类/运行管理类/工程管理类/医学类/规划投资类/市场营销类/法律类/财务审计类/行政管理类/采购管理类/研发培训类/科研类/党宣工团纪类等,其他类型企业
435,财务管理/会计管理/信贷管理/风险管理,金融企业
436,管理培训生/金融科技人才/市县分支机构营销人员/营运人员,金融企业
437,学科教师/行政管理/文案策划/机器人编程教师（少儿编程、创客老师、乐高编程、少儿机器人）,互联网科技企业
438,机电研发岗,其他类型企业
439,专业人才/管培生/分支行储备生/子公司及驻行纪检监察组等,金融企业
440,嵌入式软件工程师/数字电路设计工程师/数字电路验证工程师/硬件工程师/自动化测试工程师,互联网科技企业
441,边缘计算应用开发实习（研发、产品）,工业科技企业
442,嵌入式软件开发工程师,互联网科技企业
443,事业编制,其他类型企业
445,SMT工程师,互联网科技企业
446,机器学习负责人/软件负责人/嵌入式系统负责人/电路负责人/硬件原型开发负责人/显示算法负责人/VR 3D引擎科学家/图形图像算法科学家/安卓高级软件负责人/ISP 图像算法负责人/人体感知与视觉科学家/显示、光学测试负责人/先进显示技术研发负责人/显示驱动面板设计负责人/显示背板制程器件工程负责人/显示驱动IC设计负责人/IT 工程师 （服务器）/实验室管理员,研究机构
447,CAD三维设计师,互联网科技企业
449,采购员/制程工程师/规划师/人力资源/测试工程师/机构设计工程师/PLC开发工程师/EHS工程师/项目助理/数据分析师/成本分析师/精益管理师/自动化工程师/经营分析师,互联网科技企业
450,总行管培生/分支机构管培生/营业网点业务岗/定向营业网点业务岗,金融企业
451,技术研发/封装技术开发/新产品开发/制程工程师/设备工程师/管理类/软件开发/动力工程技术,互联网科技企业
452,博士后/产品设计/工艺技术/机械技术/电气技术/模具技术/生产管理/改善管理/质量管理/市场营销,其他类型企业
453,游戏开发工程师,互联网科技企业
454,材料开发类\OLED材料开发\光学设计类\显示技术研究类\仿真设计类\电磁仿真\面板设计类\器件开发类\OLED工艺器件开发\战略与企管类\电子设计类,工业科技企业
456,软件开发岗/证件芯片安全研究岗/数据算法研发岗/仿真系统研发岗 /数据分析岗,研究机构
458,软件研发类/硬件研发类/供应链/产品类,互联网科技企业
459,嵌入式软件工程师/Android开发工程师/硬件开发工程师/Web后端开发工程师/Web前端开发工程师/质量工程师,互联网科技企业
460,初级游戏软件开发工程师,互联网科技企业
461,项目管理岗/IT信息岗/证照事务岗/销控岗/价格管理岗/客户关系岗/财务管理岗,金融企业
463,Java研发工程师/前端研发工程师,互联网科技企业
464,工程技术岗,工业科技企业
466,专业化人才\管理培训生\营销型人才,金融企业
467,产品研发/技术岗/管理岗,工业科技企业
468,财务审计（2022校招）/财务审计实习生（非校招）/资产评估（2022校招）/管理咨询（2022校招）,生活类企业
471,安卓应用/多媒体开发/驱动/无线通信协议/信息安全/Devops/算法/射频工程师,互联网科技企业
472,科研创新岗/开发管理岗/综合管理岗/产业管理岗/设计管理岗/投资财会岗/合规管理岗,金融企业
473,生产技术类储干/品质管理类储干/研发技术类储干/设备维护类储干/安全、消防、环保类储干/供应链类储干/项目管理类储干,互联网科技企业
474,版图工程师/芯片设计工程师/软件测试/软件开发/web前端/半导体应用咨询工程师,互联网科技企业
475,芯片设计/SIP封装设计/微波设计/天线设计/FPGA设计/总体设计/算法设计/C++软件设计/C#软件设计/电路设计/结构设计/电气工程设计/DSP设计,互联网科技企业
476,达州英才计划,其他类型企业
477,市场BD专业,互联网科技企业
478,机械设计工程师/电气设计工程师,工业科技企业
479,规划建设类/信息电子类,社会企业
480,工程师-车载网联及智能驾驶/电驱动及电气化/整车工程及开发/柴油发动机整车基础和驾驶性标定-汽油发动机/,高新技术企业
481,财务管理/项目管理储备干部,互联网科技企业
482,数字IC工程师,互联网科技企业
483,储备干部/技术工程师,其他类型企业
484,质量工程师/相分析工程师/工艺工程师/模具工程师/材料研发工程师/模具设计工程师/热处理工程师等等,其他类型企业
485,专利代理师（通信、电学、机械、自动化等领域）,人文知识企业
486,IT及新技术类/网络类/业务及运营类/市场类/职能支撑,互联网科技企业
487,置业顾问/策划专员/储备销售主管,专业技术服务企业
488,总裁办管培生/业务管培生/Java开发工程师/B端产品经理/专员,互联网科技企业
489,太仓市2021年度专业化青年人才定岗特选,社会企业
490,探测器研发工程师/助理工程师、工艺助理（应届）/光刻助理工程师（应届）/品质工程师（应届）/研发助理、研发工程师（应届）,工业科技企业
491,教师/党政类/医疗类/技术类等,其他类型企业
492,嵌入式软件工程师/硬件工程师/网络测试工程师,互联网科技企业
494,业务研究岗/品种研发岗,其他类型企业
496,软件技术/硬件技术/职能/销售,工业科技企业
497,科技规划管理岗/应用系统开发岗/系统及网络管理岗/技术运行操作岗/登记结算业务岗（法律类/会计类/统计类/财经类)/综合管理岗（法律类/会计审计类/新闻类）/数据中心管理岗等,金融企业
498,智慧金融岗/研发维护岗/人力资源岗/金融市场交易岗/宣传岗,金融企业
499,电子工程师/电气工程师/算法工程师/应用工程师,互联网科技企业
500,项目开发经理/项目营销经理,高新技术企业
501,算法工程师/FPGA工程师,互联网科技企业
502,Marketing 品牌管理培训生/Sales 营销管理培训生,互联网科技企业
